,ORIGIN,DESTINATION,Lane,Corresponding CPT,Scheduled Truck Arrival - 1 date,Scheduled Truck Arrival - 1 time,Pull time 1,Scheduled Truck Arrival - 2 date,Scheduled Truck Arrival - 2 time,LoadingTime,Equipment Type,Carrier,Canceled Load,Business Types,CPT Date,Origin_band,Destination_band,Origin_Start,Origin_End,Destination_Start,Destination_End,Day,Day1,minutes
1862,DRG2,BRS2,DRG2->BRS2,3/23/2024 23:59,3/23/2024,7:00,8:30,3/23/2024,10:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/23/2024,6:00-9:00,7:00-18:00,6:00,9:00,7:00,18:00,2024-03-23,Sat,420
1863,DRG2,BRS2,DRG2->BRS2,3/23/2024 23:59,3/23/2024,12:30,14:00,3/23/2024,15:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/23/2024,11:00-15:00,7:00-18:00,11:00,15:00,7:00,18:00,2024-03-23,Sat,750
1864,DRG2,BRS2,DRG2->BRS2,3/23/2024 23:59,3/23/2024,22:00,23:30,3/24/2024,1:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/23/2024,,,,,,,2024-03-23,Sat,1320
1865,DRG2,BRS2,DRG2->BRS2,3/24/2024 23:59,3/24/2024,6:00,7:30,3/24/2024,9:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/24/2024,6:00-9:00,,6:00,9:00,,,2024-03-24,Sun,360
1866,DRG2,BRS2,DRG2->BRS2,3/24/2024 23:59,3/24/2024,7:00,8:30,3/24/2024,10:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/24/2024,6:00-9:00,7:00-18:00,6:00,9:00,7:00,18:00,2024-03-24,Sun,420
1867,DRG2,BRS2,DRG2->BRS2,3/24/2024 23:59,3/24/2024,12:30,14:00,3/24/2024,15:34,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/24/2024,11:00-15:00,7:00-18:00,11:00,15:00,7:00,18:00,2024-03-24,Sun,750
1868,DRG2,BRS2,DRG2->BRS2,3/24/2024 23:59,3/24/2024,22:00,23:30,3/25/2024,1:04,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/24/2024,,,,,,,2024-03-24,Sun,1320
1869,DXM3,NCL2,DXM3->NCL2,3/18/2024 23:59,3/18/2024,20:00,21:30,3/19/2024,0:19,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/18/2024,18:00-22:00,,18:00,22:00,,,2024-03-18,Mon,1200
1870,DXM3,NCL2,DXM3->NCL2,3/22/2024 23:59,3/22/2024,20:00,21:30,3/23/2024,0:19,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/22/2024,18:00-22:00,,18:00,22:00,,,2024-03-22,Fri,1200
1871,DRH1,SNG1,DRH1->SNG1,3/19/2024 23:59,3/19/2024,8:00,9:30,3/19/2024,15:15,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/19/2024,1:00-9:00,,1:00,9:00,,,2024-03-19,Tue,480
1872,DRH1,SNG1,DRH1->SNG1,3/20/2024 23:59,3/20/2024,7:00,8:30,3/20/2024,14:15,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,1:00-9:00,,1:00,9:00,,,2024-03-20,Wed,420
1873,DRH1,SNG1,DRH1->SNG1,3/20/2024 23:59,3/20/2024,8:00,9:30,3/20/2024,15:15,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,1:00-9:00,,1:00,9:00,,,2024-03-20,Wed,480
1874,DRH1,SNG1,DRH1->SNG1,3/21/2024 23:59,3/21/2024,7:00,8:30,3/21/2024,14:15,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,1:00-9:00,,1:00,9:00,,,2024-03-21,Thu,420
1875,DCR3,STN8,DCR3->STN8,3/18/2024 23:59,3/18/2024,10:00,11:30,3/18/2024,14:02,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/18/2024,10:00-12:00,,10:00,12:00,,,2024-03-18,Mon,600
1876,DCR3,STN8,DCR3->STN8,3/18/2024 23:59,3/18/2024,11:30,13:00,3/18/2024,15:32,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/18/2024,10:00-12:00,,10:00,12:00,,,2024-03-18,Mon,690
1877,DCR3,STN8,DCR3->STN8,3/20/2024 23:59,3/20/2024,11:30,13:00,3/20/2024,15:32,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/20/2024,10:00-12:00,,10:00,12:00,,,2024-03-20,Wed,690
1878,DCR3,STN8,DCR3->STN8,3/21/2024 23:59,3/21/2024,11:30,13:00,3/21/2024,15:32,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/21/2024,10:00-12:00,,10:00,12:00,,,2024-03-21,Thu,690
1879,DPR1,MAN1,DPR1->MAN1,3/24/2024 23:59,3/24/2024,14:30,16:00,3/24/2024,17:33,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/24/2024,13:00-15:00,8:00-18:00,13:00,15:00,8:00,18:00,2024-03-24,Sun,870
1880,DNE2,MME2,DNE2->MME2,3/18/2024 23:59,3/18/2024,2:00,3:30,3/18/2024,4:29,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/18/2024,0:00-9:00,2:00-3:00,0:00,9:00,2:00,3:00,2024-03-18,Mon,120
1881,DNE2,MME2,DNE2->MME2,3/18/2024 23:59,3/18/2024,19:30,21:00,3/18/2024,21:59,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/18/2024,,,,,,,2024-03-18,Mon,1170
1882,DNE2,MME2,DNE2->MME2,3/19/2024 23:59,3/19/2024,19:00,20:30,3/19/2024,21:29,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/19/2024,,,,,,,2024-03-19,Tue,1140
1883,DNE2,MME2,DNE2->MME2,3/19/2024 23:59,3/19/2024,22:00,23:30,3/20/2024,0:29,1:30,DETACHED_TRAILER,AZNG,False,Sample1,3/19/2024,,,,,,,2024-03-19,Tue,1320
