ORIGIN,DESTINATION,Lane,Corresponding CPT,Scheduled Truck Arrival - 1 date,Scheduled Truck Arrival - 1 time,Pull time 1,Scheduled Truck Arrival - 2 date,Scheduled Truck Arrival - 2 time,LoadingTime,Equipment Type,Carrier,Canceled Load,Business Types,CPT Date,Origin_band,Destination_band,Origin_Start,Origin_End,Destination_Start,Destination_End
DRM5,STN9,DRM5->STN9,3/23/2024 23:59,3/23/2024,11:30,13:00,3/23/2024,15:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/23/2024 23:59,3/23/2024,12:00,13:30,3/23/2024,16:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/24/2024 23:59,3/24/2024,11:00,12:30,3/24/2024,15:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DRM5,STN9,DRM5->STN9,3/24/2024 23:59,3/24/2024,12:00,13:30,3/24/2024,16:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DLU2,EMA1,DLU2->EMA1,3/19/2024 23:59,3/19/2024,7:00,8:30,3/19/2024,11:09,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DLU2,EMA1,DLU2->EMA1,3/20/2024 23:59,3/20/2024,7:00,8:30,3/20/2024,11:09,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DLU2,EMA1,DLU2->EMA1,3/21/2024 23:59,3/21/2024,7:00,8:30,3/21/2024,11:09,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
DLU2,EMA1,DLU2->EMA1,3/22/2024 23:59,3/22/2024,7:00,8:30,3/22/2024,11:09,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DLU2,EMA1,DLU2->EMA1,3/23/2024 23:59,3/23/2024,7:00,8:30,3/23/2024,11:09,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DLU2,EMA1,DLU2->EMA1,3/24/2024 23:59,3/24/2024,7:00,8:30,3/24/2024,11:09,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/18/2024 23:59,3/18/2024,10:30,12:00,3/18/2024,14:26,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/18/2024 23:59,3/18/2024,13:00,14:30,3/18/2024,16:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/19/2024 23:59,3/19/2024,10:00,11:30,3/19/2024,13:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/19/2024 23:59,3/19/2024,10:30,12:00,3/19/2024,14:26,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/19/2024 23:59,3/19/2024,12:00,13:30,3/19/2024,15:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/19/2024 23:59,3/19/2024,13:00,14:30,3/19/2024,16:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/20/2024 23:59,3/20/2024,8:30,10:00,3/20/2024,12:26,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/20/2024 23:59,3/20/2024,11:00,12:30,3/20/2024,14:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/20/2024 23:59,3/20/2024,11:30,13:00,3/20/2024,15:26,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/22/2024 23:59,3/22/2024,9:00,10:30,3/22/2024,12:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/22/2024 23:59,3/22/2024,12:00,13:30,3/22/2024,15:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/22/2024 23:59,3/22/2024,12:30,14:00,3/22/2024,16:26,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/23/2024 23:59,3/23/2024,10:00,11:30,3/23/2024,13:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/23/2024 23:59,3/23/2024,11:00,12:30,3/23/2024,14:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/23/2024 23:59,3/23/2024,11:30,13:00,3/23/2024,15:26,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/24/2024 23:59,3/24/2024,9:00,10:30,3/24/2024,12:56,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DLS4,EMA1,DLS4->EMA1,3/24/2024 23:59,3/24/2024,10:30,12:00,3/24/2024,14:26,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/24/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/18/2024 23:59,3/18/2024,2:00,3:30,3/18/2024,7:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/18/2024 23:59,3/18/2024,4:30,6:00,3/18/2024,9:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/18/2024 23:59,3/18/2024,14:00,15:30,3/18/2024,19:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/18/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/19/2024 23:59,3/19/2024,2:00,3:30,3/19/2024,7:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/19/2024 23:59,3/19/2024,3:30,5:00,3/19/2024,8:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/19/2024 23:59,3/19/2024,5:30,7:00,3/19/2024,10:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/19/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/20/2024 23:59,3/20/2024,2:00,3:30,3/20/2024,7:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/20/2024 23:59,3/20/2024,4:00,5:30,3/20/2024,9:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/20/2024 23:59,3/20/2024,5:30,7:00,3/20/2024,10:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/20/2024 23:59,3/20/2024,6:30,8:00,3/20/2024,11:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/20/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/21/2024 23:59,3/21/2024,2:00,3:30,3/21/2024,7:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/21/2024 23:59,3/21/2024,2:30,4:00,3/21/2024,7:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/21/2024 23:59,3/21/2024,4:30,6:00,3/21/2024,9:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/21/2024 23:59,3/21/2024,6:30,8:00,3/21/2024,11:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/21/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/22/2024 23:59,3/22/2024,2:00,3:30,3/22/2024,7:15,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/22/2024 23:59,3/22/2024,4:30,6:00,3/22/2024,9:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/22/2024 23:59,3/22/2024,6:30,8:00,3/22/2024,11:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/22/2024,,,,,,
DXP1,BRS1,DXP1->BRS1,3/23/2024 23:59,3/23/2024,2:30,4:00,3/23/2024,7:45,1:30,DETACHED_TRAILER,AZNG,FALSE,Sample1,3/23/2024,,,,,,
